fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.00631,64.685905,1,1,11.184109,2.9997685,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.84359,65.038536,1,1,10.350147,3.6983275,1,1
57.24517,65.440125,1,1,10.445624,2.7784958,1,1
-1024.0,-1024.0,0,0,11.534707,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.638435,0,1,11.034672,3.3873613,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.548317,-1024.0,1,0,9.435821,2.3329382,1,1
57.165905,65.06385,1,1,10.866809,2.9878345,1,1
58.25759,65.30301,1,1,11.01917,3.001895,1,1
58.794724,65.26832,1,1,10.991069,2.8477044,1,1
57.070415,65.59922,1,1,11.50154,3.322278,1,1
57.725502,-1024.0,1,0,-1024.0,-1024.0,0,0
56.9571,64.71416,1,1,11.639288,2.7330105,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.63189,65.04625,1,1,10.973669,2.9357164,1,1
56.515717,65.17578,1,1,10.193612,2.8828764,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.742516,65.17823,1,1,11.064911,3.0841746,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.62134,-1024.0,1,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,3.2924616,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,2.5222316,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.101776,65.02743,1,1,11.286561,2.9272826,1,1
56.867546,64.84711,1,1,11.089324,2.8155212,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.660847,65.24306,1,1,10.782161,3.0300953,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.94818,-1024.0,1,0,11.298541,3.1170902,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.4537,0,1,10.591717,3.2912583,1,1
57.040936,64.89958,1,1,10.824365,3.0171752,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.230232,-1024.0,1,0,-1024.0,-1024.0,0,0
-1024.0,65.362724,0,1,10.654347,4.114761,1,1
-1024.0,65.702736,0,1,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.499603,64.74002,1,1,11.024953,2.7229662,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.637806,64.86681,1,1,11.169926,2.646103,1,1
56.784874,64.7963,1,1,11.201253,2.66702,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.91624,66.10418,1,1,10.663435,2.9695961,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.966476,65.2464,1,1,10.716535,3.0915782,1,1
56.016586,65.29748,1,1,10.344029,3.2460492,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.59152,65.354385,1,1,10.692097,3.22471,1,1
57.684914,65.20543,1,1,11.735116,2.6448703,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.33795,0,1,-1024.0,2.779703,0,1
56.669884,-1024.0,1,0,11.767066,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.92165,65.315735,1,1,10.213229,3.4831834,1,1
57.009975,65.41695,1,1,11.202434,3.2873325,1,1
57.810978,65.01344,1,1,11.366525,2.6890743,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,64.83449,0,1,10.522356,2.7775218,1,1
55.741306,65.17769,1,1,11.043414,2.9185982,1,1
56.805866,65.46109,1,1,11.176375,3.1417878,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.855373,64.91716,1,1,10.63806,-1024.0,1,0
57.107475,65.606705,1,1,10.968763,3.1687376,1,1
57.35873,64.867905,1,1,10.865162,2.9981058,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.668507,64.73348,1,1,11.404232,2.6913545,1,1
56.816414,65.04025,1,1,10.669073,2.9042385,1,1
-1024.0,65.11319,0,1,11.655072,3.542511,1,1
57.627464,65.55058,1,1,11.360382,3.2004323,1,1
56.91468,65.374275,1,1,11.686038,3.3689547,1,1
-1024.0,65.60232,0,1,11.034699,3.4102612,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,64.59091,0,1,-1024.0,2.4789076,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,64.760056,0,1,-1024.0,2.7043562,0,1
57.29345,65.31346,1,1,11.108381,3.0585928,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.13388,65.384735,1,1,10.990054,3.369828,1,1
-1024.0,65.319336,0,1,-1024.0,2.9879296,0,1
57.02413,65.485954,1,1,10.537041,3.296339,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.230778,64.5787,1,1,11.090581,2.461159,1,1
-1024.0,-1024.0,0,0,10.31718,2.3960526,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.405632,-1024.0,1,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.454475,64.93928,1,1,10.812039,2.5851538,1,1
57.295986,65.22917,1,1,11.374023,2.9888685,1,1
56.83406,65.64284,1,1,10.979104,2.9884233,1,1
-1024.0,65.48211,0,1,-1024.0,-1024.0,0,0
56.92597,-1024.0,1,0,11.373341,2.161996,1,1
58.047874,64.85029,1,1,11.887575,2.719087,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.335217,65.25191,1,1,10.789773,3.5857553,1,1
55.501312,65.06034,1,1,11.446922,2.9781058,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.770092,65.61128,1,1,11.182704,3.3357139,1,1
57.51972,65.28733,1,1,11.10444,2.837168,1,1
56.58702,64.846634,1,1,10.954399,2.8857758,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.928223,65.51818,1,1,10.8148985,3.1182032,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.230335,64.86383,1,1,11.625607,2.6350083,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.317024,65.53272,1,1,11.370225,3.2482631,1,1
55.89882,64.68079,1,1,11.14176,2.5590866,1,1
57.024982,-1024.0,1,0,-1024.0,-1024.0,0,0
56.78777,64.87005,1,1,11.312923,2.8804994,1,1
56.92387,65.094345,1,1,11.354303,2.8574934,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.20433,0,1,11.318302,3.5879753,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.5631,65.503555,1,1,10.366328,3.1271214,1,1
56.429253,64.71646,1,1,10.958971,2.457902,1,1
-1024.0,64.788864,0,1,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,64.93437,0,1,11.049703,2.3013213,1,1
57.20922,-1024.0,1,0,11.878453,2.4156523,1,1
57.61779,65.045364,1,1,10.87645,2.8751283,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.03549,65.18297,1,1,10.380602,2.5908556,1,1
56.499798,65.08134,1,1,10.547819,3.9618108,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.07098,64.83431,1,1,10.910301,2.9368362,1,1
56.534164,64.91303,1,1,10.683352,2.6562474,1,1
57.479404,64.991684,1,1,12.030924,-1024.0,1,0
56.896267,65.11251,1,1,10.6151905,2.8514867,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.767212,64.794716,1,1,11.136389,2.6219878,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.54456,0,1,11.718035,2.1866224,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.122345,64.80994,1,1,11.892814,2.7145634,1,1
57.177673,-1024.0,1,0,10.447113,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.387493,65.48911,1,1,11.167746,3.2751029,1,1
56.04104,65.55642,1,1,10.958023,3.3606682,1,1
56.873917,65.061714,1,1,10.936457,3.1844828,1,1
57.721214,65.48043,1,1,11.247305,2.628721,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.465305,-1024.0,1,0,14.382342,-1024.0,1,0
56.330544,65.413826,1,1,10.955148,3.0573478,1,1
57.309795,65.08371,1,1,11.134386,3.0020857,1,1
56.922935,65.34281,1,1,10.510778,3.474128,1,1
57.562843,-1024.0,1,0,10.8260355,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.694855,-1024.0,1,0,-1024.0,3.534229,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.65835,64.83485,1,1,11.025457,2.3137872,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.814037,-1024.0,1,0,11.190872,2.0769913,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.35204,65.17927,1,1,10.78448,2.7012615,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.07243,65.08263,1,1,10.462994,3.4708583,1,1
57.44356,64.769485,1,1,21.734472,2.4340165,1,1
56.144115,65.444984,1,1,10.7216215,3.26978,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.062782,-1024.0,1,0,13.521952,3.3404508,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,64.574745,0,1,-1024.0,3.4796925,0,1
57.506165,64.89428,1,1,12.335585,3.2208266,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.684082,65.21386,1,1,11.076986,2.5788584,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.152588,65.2936,1,1,10.532137,10.309081,1,1
57.158066,64.927536,1,1,12.72211,2.6590908,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.80906,65.3051,1,1,11.5647,2.9337916,1,1
56.42695,65.325356,1,1,10.932757,3.2948513,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.03201,65.08284,1,1,11.095593,3.0274348,1,1
55.627537,-1024.0,1,0,10.93619,-1024.0,1,0
56.79169,65.48015,1,1,10.7660675,2.9854276,1,1
56.74225,64.94342,1,1,11.3684225,3.4328053,1,1
56.88626,-1024.0,1,0,10.105841,2.5893755,1,1
57.311005,65.27909,1,1,10.860167,2.7941406,1,1
-1024.0,64.92322,0,1,-1024.0,2.4711783,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.36868,64.849655,1,1,10.9170885,2.9052665,1,1
57.14734,-1024.0,1,0,10.397062,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
