fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.001804313971661,0.0337612000294029,-1024.0,-1024.0
56.179558,65.32218,1,1,-1024.0,3.163588,0,1,0.0961524627637118,8.109676278196275,-959.8073647618294,-279.861962556839
56.667675,65.029655,1,1,10.932466,2.6248224,1,1,0.4633575039333664,54.32490429282189,-749.5108143128455,60.86133813858032
57.938866,64.458725,1,1,10.860766,2.4461148,1,1,0.9562523014028556,15.406752079725266,-718.4700177498162,61.06600451469421
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0145469837007112,0.059226737357676,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0039345131954178,0.1353795160539448,-1024.0,-1024.0
57.306942,65.117,1,1,11.440794,2.9474633,1,1,2.168225973728113,55.37067312002182,-283.1638257615268,61.291335105896
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0009409823687747,0.0300798867829143,-1024.0,-1024.0
57.058655,64.953865,1,1,11.381184,2.9193835,1,1,2.138627550331876,154.79018831253052,-218.41704384610057,60.94033169746399
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0044456351315602,0.1071541616693139,-1024.0,-1024.0
56.825684,64.77099,1,1,11.08024,2.9175055,1,1,2.4995370560791343,122.84766337275504,-315.0998380649835,60.550153493881226
57.99341,64.97816,1,1,10.760612,2.1370392,1,1,0.5835467596771196,67.29113554954529,-605.6101623363793,61.18344831466675
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0028300557751208,0.0285122678615152,-1024.0,-1024.0
57.56602,-1024.0,1,0,11.094227,-1024.0,1,0,0.1741899477201514,18.557787905447185,-926.8039475530386,-483.24141550064087
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0027267733821645,0.1125700776465237,-1024.0,-1024.0
57.105858,65.31125,1,1,11.350796,2.3521135,1,1,0.2865779491257854,39.43464705348015,-862.4062910564244,61.19622087478638
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0517550213262438,-1024.0,-1024.0
57.024433,64.68494,1,1,11.189346,3.0042715,1,1,2.0704430358018726,160.214479804039,-364.0320775415749,60.71172595024109
60.28217,64.77793,3,1,4.969425,2.622821,1,1,1.2905846518697217,4.616930423304439,-590.1380741056055,-278.2977604866028
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0018047445337288,0.0496484893374144,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0018804347491823,0.0690131373703479,-1024.0,-1024.0
57.912037,-1024.0,1,0,-1024.0,-1024.0,0,0,0.0,4.665272296406329,-1024.0,-550.774570941925
-1024.0,-1024.0,0,0,-10.880791,2.285236,2,1,0.3068470943253487,0.0696452800184488,-848.0348849068396,-1024.0
-1024.0,64.864204,0,1,-1024.0,-1024.0,0,0,0.0018776670913211,43.74359592888504,-1024.0,-479.5756731033325
58.28613,65.60396,1,1,11.246878,3.5067015,1,1,2.438803912140429,135.99005436897278,-234.1074873097241,61.60898017883301
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0038437395123764,0.085462138056755,-1024.0,-1024.0
-1024.0,65.326195,0,1,-1024.0,3.2133415,0,1,0.4354401329765096,20.227896375581626,-831.4018345884979,-479.33253049850464
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0679344795644283,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0083592659793794,0.127779820933938,-1024.0,-1024.0
57.674225,65.24834,1,1,10.513983,3.1276326,1,1,0.58322260575369,33.400301821529865,-702.5729114515707,61.15150547027588
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0021059131831862,0.0502039529383182,-1024.0,-1024.0
-1024.0,65.316605,0,1,10.907685,3.0772746,1,1,0.5594396920641884,89.00125541817397,-750.8334168307483,-479.3237948417664
56.82699,65.07826,1,1,11.082983,2.8913622,1,1,3.606134070083499,95.61410564184187,-202.7512381747365,60.733805894851685
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0009938530856743,0.0507219820283353,-1024.0,-1024.0
56.632465,65.176926,1,1,10.800806,2.832195,1,1,1.353581900242716,55.59444749355316,-298.60441686958075,60.61568093299866
56.75157,65.63223,1,1,11.0658655,2.9734943,1,1,0.900842990144156,150.48236556351185,-621.6773591674864,61.23453330993652
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0025981249054893,0.0925428052432835,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0039604770136065,0.054433137178421,-1024.0,-1024.0
57.00631,64.685905,1,1,11.184109,2.9997685,1,1,0.968826753902249,90.78401482105257,-540.7095553800464,60.73416495323181
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0217306925915181,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0010787496576085,0.07044890942052,-1024.0,-1024.0
56.84359,65.038536,1,1,10.350147,3.6983275,1,1,0.6625568047165871,20.019478544592857,-782.7716903537512,60.89769268035889
57.24517,65.440125,1,1,10.445624,2.7784958,1,1,1.0483400188968517,46.919084310531616,-574.2932810662314,61.370949029922485
-1024.0,-1024.0,0,0,11.534707,-1024.0,1,0,0.015720285300631,0.0659331795759499,-1007.8197702020408,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0037684532580897,0.0706486385315656,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0027926104376092,0.0614682361483573,-1024.0,-1024.0
-1024.0,65.638435,0,1,11.034672,3.3873613,1,1,1.1778167888405733,54.884586800821126,-637.6981487758458,-479.1884632110596
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0008402438834309,0.047112775966525,-1024.0,-1024.0
56.548317,-1024.0,1,0,9.435821,2.3329382,1,1,0.0923907500691711,2.7257037982344627,-943.7211018614472,-753.8617050647736
57.165905,65.06385,1,1,10.866809,2.9878345,1,1,1.1883184893522412,55.03637546300888,-460.62244510278106,61.10304641723633
58.25759,65.30301,1,1,11.01917,3.001895,1,1,5.24520669109188,141.0591344833374,-73.09088608250022,61.51585268974304
