fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
56.337185,64.88043,1,1,9.718242,2.2645247,1,1
56.76889,65.01201,1,1,10.932512,2.5361547,1,1
56.736847,64.53264,1,1,11.275143,2.6340811,1,1
56.441643,65.37546,1,1,10.61699,3.1117287,1,1
56.88184,65.07729,1,1,9.957333,2.4900353,1,1
56.652603,65.356346,1,1,9.602148,2.6646976,1,1
56.40199,64.98615,1,1,9.7778015,2.728004,1,1
56.51669,65.58994,1,1,10.971775,3.1730301,1,1
56.461315,65.36315,1,1,8.902955,2.6934981,1,1
56.216557,65.77623,1,1,10.520557,3.2372377,1,1
56.44119,64.789955,1,1,11.691549,3.1207855,1,1
56.144024,65.09343,1,1,9.817848,2.4748409,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.400017,64.74615,1,1,10.118875,2.0923946,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.511177,64.86114,1,1,8.033814,2.1206193,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.549576,64.873215,1,1,10.078944,2.2429354,1,1
56.716717,65.177376,1,1,11.43477,3.1708114,1,1
56.394253,65.27486,1,1,8.099407,2.5259824,1,1
56.51389,65.40652,1,1,11.381427,3.1921668,1,1
55.83987,65.3217,1,1,11.148792,3.183296,1,1
57.11118,65.28509,1,1,12.04622,3.4139466,1,1
56.78743,65.20076,1,1,9.315503,2.6172967,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.001312,64.94041,1,1,11.957338,3.100753,1,1
56.67693,65.185104,1,1,11.515601,3.2417614,1,1
56.332012,64.959366,1,1,11.482789,3.1456769,1,1
56.70484,64.95959,1,1,10.962458,2.9008899,1,1
56.912754,64.825516,1,1,10.851682,2.6244214,1,1
-28.587437,64.98253,3,1,10.192028,2.5336215,1,1
56.733917,65.328865,1,1,10.382928,2.5556943,1,1
56.663242,65.06396,1,1,10.930865,2.6212244,1,1
56.102337,65.01914,1,1,11.042458,3.1645515,1,1
56.31818,64.8728,1,1,10.504067,2.601831,1,1
